"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Electrodominance","R","R","7353","3.13","1443","3.73","6614","80.1%","51.7%","1033","49.9%","1618","55.4%","2651","53.2%","3952","50.5%","2.7pp"
"Fling","R","U","56452","6.72","6199","10.13","7478","20.9%","50.8%","1156","47.5%","1725","52.6%","2881","50.5%","4587","50.8%","-0.3pp"
"Indomitable Creativity","R","M","6672","5.78","692","8.93","138","3.4%","","13","","30","","43","","95","",""
"Skewer the Critics","R","U","35699","3.73","6579","4.85","32587","85.4%","52.4%","5387","51.9%","7877","54.1%","13264","53.2%","19273","51.9%","1.3pp"
"Skullcrack","R","R","12086","5.36","1128","8.35","1385","21.6%","44.9%","220","","315","","535","45.8%","849","44.2%","1.6pp"
"Clear Shot","G","U","28040","3.02","10849","3.47","61109","93.5%","56.7%","9972","56.2%","14524","60.2%","24496","58.6%","36429","55.3%","3.3pp"
"Force of Vigor","G","M","5955","4.95","654","7.98","252","6.4%","","42","","62","","104","","148","",""
"Pest Infestation","G","R","6077","2.64","3286","2.76","18099","90.5%","57.1%","3060","58.7%","4375","63.1%","7435","61.3%","10567","54.1%","7.2pp"
"Primal Command","G","R","7271","3.07","2447","3.52","11867","81.1%","56.2%","1839","54.5%","2820","60.7%","4659","58.2%","7175","55.0%","3.2pp"
"Primal Might","G","R","5380","2.27","2596","2.46","14541","92.5%","56.5%","2329","58.5%","3485","60.5%","5814","59.7%","8676","54.2%","5.5pp"
"Thornado","G","U","57474","6.71","7558","9.87","12974","29.2%","53.1%","2142","49.0%","3061","52.7%","5203","51.1%","7732","54.4%","-3.2pp"
"Abrupt Decay","BG","R","9939","4.09","1981","5.49","8018","69.0%","54.8%","1370","53.7%","1939","60.0%","3309","57.4%","4677","52.9%","4.4pp"
"Anguished Unmaking","WB","M","4805","4.10","709","5.64","2255","55.0%","52.2%","357","","583","55.1%","940","53.5%","1311","51.2%","2.3pp"
"Back for More","BG","U","40993","4.50","11776","5.36","54414","76.7%","56.4%","8589","55.4%","13545","60.5%","22134","58.5%","32057","54.8%","3.7pp"
"Bedevil","BR","R","10167","4.26","1539","5.87","5778","64.6%","51.8%","930","52.9%","1440","54.0%","2370","53.5%","3396","50.5%","3.1pp"
"Buried in the Garden","WG","U","30545","3.33","11467","3.77","61744","87.9%","57.9%","10399","59.6%","14491","62.0%","24890","61.0%","36711","55.7%","5.3pp"
