"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Offender at Large","R","C","378582","5.95","61673","8.32","245039","64.6%","56.2%","40808","55.2%","58237","55.8%","99045","55.6%","145914","56.7%","-1.1pp"
"Person of Interest","R","C","296724","4.41","67739","5.66","347383","82.3%","57.2%","57582","58.9%","82876","57.6%","140458","58.1%","206800","56.6%","1.6pp"
"Pyrotechnic Performer","R","R","18263","1.77","10650","1.78","61279","92.8%","57.0%","11063","58.6%","14498","60.6%","25561","59.7%","35643","55.0%","4.7pp"
"Reckless Detective","R","U","82326","3.20","29841","3.66","163559","88.3%","57.0%","29758","62.8%","39019","55.4%","68777","58.6%","94758","55.9%","2.7pp"
"Red Herring","R","C","312972","4.65","62686","6.22","324354","84.4%","56.0%","58473","56.8%","76458","54.2%","134931","55.3%","189363","56.4%","-1.1pp"
"Rubblebelt Braggart","R","C","411275","7.14","47406","10.62","56450","19.7%","52.7%","8618","51.3%","13500","52.0%","22118","51.7%","34326","53.3%","-1.6pp"
"Shock","R","C","216883","3.24","64807","3.96","353101","88.8%","56.1%","61586","56.6%","86275","57.2%","147861","57.0%","205042","55.5%","1.5pp"
"Suspicious Detonation","R","C","372388","5.84","46261","8.67","115321","41.8%","52.1%","17763","49.3%","30027","52.0%","47790","51.0%","67503","52.9%","-1.9pp"
"Vengeful Tracker","R","U","115763","4.25","20872","5.82","106457","83.7%","55.4%","18940","55.4%","25298","53.8%","44238","54.5%","62228","56.0%","-1.5pp"
"Aftermath Analyst","G","U","142125","5.48","24454","7.53","85950","59.0%","53.1%","15260","53.1%","21397","53.1%","36657","53.1%","49182","53.1%","0.0pp"
"Airtight Alibi","G","C","411071","7.12","53025","10.41","85020","26.6%","53.6%","13264","52.5%","20602","54.4%","33866","53.7%","50905","53.4%","0.3pp"
"Analyze the Pollen","G","R","42781","3.65","10524","4.57","48726","76.8%","54.8%","8559","53.0%","12206","56.2%","20765","54.9%","27932","54.7%","0.2pp"
"Archdruid's Charm","G","R","36636","3.20","9880","3.82","45171","75.1%","55.6%","7248","54.7%","11583","58.1%","18831","56.8%","26309","54.8%","2.0pp"
"Audience with Trostani","G","R","61575","5.36","8201","8.15","7230","14.7%","52.9%","1260","50.6%","1785","57.0%","3045","54.4%","4175","51.9%","2.5pp"
"Axebane Ferox","G","R","18091","1.77","10652","1.79","59265","90.7%","56.0%","10106","60.1%","14913","58.5%","25019","59.2%","33995","53.6%","5.5pp"
"Bite Down on Crime","G","C","296720","4.48","68199","5.77","353548","84.9%","55.6%","56730","54.4%","90240","58.8%","146970","57.1%","206268","54.5%","2.6pp"
"Case of the Locked Hothouse","G","R","29913","2.86","10640","3.07","52321","81.8%","54.4%","8478","54.2%","13714","56.9%","22192","55.9%","29839","53.2%","2.7pp"
"Case of the Trampled Garden","G","U","106782","4.15","18485","5.64","78719","71.3%","53.7%","12896","52.9%","19132","54.0%","32028","53.6%","46348","53.7%","-0.2pp"
"Chalk Outline","G","U","140933","5.77","23908","7.67","57903","41.1%","50.8%","9643","49.5%","16091","53.2%","25734","51.8%","31774","49.8%","2.0pp"
"Culvert Ambusher","G","U","127690","4.77","21458","6.74","93457","72.4%","54.1%","15839","52.0%","22580","54.2%","38419","53.3%","54916","54.7%","-1.4pp"
"Fanatical Strength","G","C","391935","6.40","65557","8.86","225469","56.4%","55.3%","35634","54.2%","54621","57.3%","90255","56.1%","135130","54.8%","1.3pp"
"Flourishing Bloom-Kin","G","U","90466","3.44","27840","4.08","154396","89.9%","56.6%","27604","57.8%","38119","58.4%","65723","58.2%","88423","55.5%","2.7pp"
"Get a Leg Up","G","U","140465","5.42","29411","6.96","122842","68.3%","55.9%","19453","55.4%","30444","58.2%","49897","57.1%","72878","55.1%","2.0pp"
"Glint Weaver","G","U","113949","4.31","28234","5.35","140586","81.9%","55.5%","21445","54.3%","35603","59.3%","57048","57.4%","82900","54.2%","3.2pp"
"Greenbelt Radical","G","U","95002","3.58","26230","4.41","142036","88.8%","55.9%","24136","55.3%","34587","58.1%","58723","56.9%","83056","55.2%","1.7pp"
"Hard-Hitting Question","G","U","93527","3.49","26734","4.28","143920","88.2%","55.6%","23726","55.7%","35964","57.7%","59690","56.9%","84133","54.7%","2.2pp"
"Hedge Whisperer","G","U","138427","5.28","22720","7.40","83966","61.6%","53.5%","14545","52.7%","20353","53.8%","34898","53.4%","48968","53.5%","-0.2pp"
"Hide in Plain Sight","G","R","20567","2.01","12340","1.99","70953","91.5%","57.6%","12275","63.8%","18038","62.8%","30313","63.2%","40530","53.5%","9.7pp"
"A Killer Among Us","G","U","94033","3.75","34478","4.09","184882","86.1%","57.2%","30195","59.4%","46734","60.7%","76929","60.2%","107287","55.1%","5.1pp"
"Loxodon Eavesdropper","G","C","303309","4.55","72491","5.81","374011","84.6%","55.7%","62448","55.8%","93627","57.4%","156075","56.7%","217476","54.9%","1.9pp"
"Nervous Gardener","G","C","256244","3.82","71132","4.73","395419","91.1%","55.6%","72080","56.7%","95838","56.7%","167918","56.7%","227252","54.8%","1.8pp"
"Pick Your Poison","G","C","417539","7.59","46514","11.29","28860","10.3%","51.3%","4745","48.1%","7148","52.7%","11893","50.9%","16955","51.6%","-0.7pp"
"Pompous Gadabout","G","U","150580","5.92","18513","8.94","44258","39.7%","52.9%","7676","53.0%","10357","52.4%","18033","52.6%","26194","53.1%","-0.5pp"
"The Pride of Hull Clade","G","M","17844","3.31","3474","4.08","9504","46.6%","50.7%","1433","48.4%","2540","51.8%","3973","50.6%","5487","50.8%","-0.2pp"
"Rope","G","U","166353","7.21","18079","10.94","8912","8.2%","49.6%","1510","47.4%","2059","46.1%","3569","46.6%","5341","51.5%","-4.9pp"
"Rubblebelt Maverick","G","C","355665","5.55","61785","7.59","262515","70.4%","54.6%","46877","55.8%","62263","55.4%","109140","55.5%","153108","53.9%","1.6pp"
"Sample Collector","G","U","120686","4.48","21338","6.18","96992","76.3%","53.5%","16626","52.5%","24024","54.0%","40650","53.4%","56242","53.6%","-0.2pp"
"Sharp-Eyed Rookie","G","R","18503","1.78","11210","1.79","62926","91.5%","56.2%","11444","62.3%","15460","56.8%","26904","59.2%","35951","53.9%","5.2pp"
"Slime Against Humanity","G","C","406950","7.62","44668","11.26","20669","7.8%","45.8%","3476","42.3%","4978","46.1%","8454","44.5%","12200","46.7%","-2.2pp"
"They Went This Way","G","C","382988","6.26","54575","8.96","159312","48.5%","53.7%","27657","54.1%","40354","54.5%","68011","54.3%","91193","53.2%","1.1pp"
"Topiary Panther","G","C","305259","4.51","60841","6.08","311332","84.8%","54.5%","54551","53.7%","77892","55.9%","132443","55.0%","178402","54.2%","0.8pp"
"Tunnel Tipster","G","C","238294","3.63","64449","4.51","354310","90.6%","55.3%","64081","58.8%","83898","52.9%","147979","55.5%","206193","55.2%","0.3pp"
"Undergrowth Recon","G","M","29382","5.05","3742","7.81","546","2.5%","45.1%","90","","137","","227","","319","",""
"Vengeful Creeper","G","C","367488","5.67","61617","7.98","273549","72.8%","55.5%","46174","54.2%","67452","56.9%","113626","55.8%","159540","55.3%","0.5pp"
"Vitu-Ghazi Inspector","G","C","365309","5.68","67503","7.71","304256","74.5%","55.0%","52899","53.8%","74545","56.7%","127444","55.5%","176510","54.6%","0.8pp"
"Agrus Kos, Spirit of Justice","WR","M","7236","1.46","5430","1.44","30914","90.2%","58.3%","5298","65.1%","7583","62.5%","12881","63.6%","17986","54.4%","9.2pp"
"Alquist Proft, Master Sleuth","WU","M","9381","1.89","5148","1.84","25063","80.4%","55.1%","4325","57.8%","6834","58.3%","11159","58.1%","13860","52.7%","5.4pp"
"Anzrag, the Quake-Mole","RG","M","9388","1.89","4580","1.89","21287","78.0%","53.4%","3700","55.9%","5220","56.5%","8920","56.2%","12244","51.3%","4.9pp"
"Assassin's Trophy","BG","R","43401","3.88","6734","5.39","20201","50.6%","51.2%","3282","48.4%","5312","54.4%","8594","52.1%","11548","50.4%","1.7pp"
"Aurelia, the Law Above","WR","R","14322","1.42","10727","1.40","60584","91.3%","56.8%","10361","58.6%","14764","61.5%","25125","60.3%","35299","54.3%","6.0pp"
"Blood Spatter Analysis","BR","R","40867","3.75","8235","4.69","27860","56.1%","54.0%","4856","56.8%","7113","56.1%","11969","56.4%","15787","52.2%","4.2pp"
"Buried in the Garden","WG","U","83077","3.26","29854","3.70","151735","82.4%","56.6%","25098","58.8%","38700","60.1%","63798","59.6%","86948","54.3%","5.3pp"
