"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Public Thoroughfare","","C","367621","5.47","53721","7.95","217564","68.0%","52.6%","39591","52.7%","54671","52.0%","94262","52.3%","123141","52.9%","-0.6pp"
"Raucous Theater","","R","45007","3.50","8587","4.79","34712","67.7%","53.5%","6406","56.6%","8450","53.3%","14856","54.7%","19504","52.5%","2.2pp"
"Scene of the Crime","","U","142348","4.95","22884","7.22","105183","76.9%","54.0%","18628","53.7%","26287","54.5%","44915","54.2%","60195","53.8%","0.4pp"
"Shadowy Backstreet","","R","42853","3.34","8673","4.53","37715","72.4%","54.2%","6952","56.8%","8993","53.5%","15945","54.9%","21300","53.5%","1.4pp"
"Thundering Falls","","R","44026","3.43","9831","4.59","43689","73.7%","54.4%","8071","57.1%","11500","54.4%","19571","55.5%","23769","53.4%","2.1pp"
"Undercity Sewers","","R","43724","3.42","9315","4.58","40810","73.4%","53.7%","7675","56.2%","10373","54.7%","18048","55.3%","22304","52.3%","3.0pp"
"Underground Mortuary","","R","43035","3.43","9382","4.55","41995","74.4%","54.1%","7830","56.2%","10044","54.8%","17874","55.4%","23476","53.0%","2.4pp"
"Case File Auditor","W","U","140239","5.44","20208","7.84","50929","41.6%","54.5%","8851","53.1%","12504","54.7%","21355","54.0%","29521","54.8%","-0.8pp"
"Wojek Investigator","W","R","14753","1.44","10955","1.44","64343","94.2%","57.2%","11422","61.7%","15852","59.2%","27274","60.2%","37025","55.0%","5.2pp"
"Sudden Setback","U","U","155940","6.38","21559","9.17","40986","31.8%","53.4%","6355","51.7%","11406","54.0%","17761","53.2%","23176","53.5%","-0.3pp"
"Surveillance Monitor","U","U","97741","3.72","25544","4.64","124843","80.6%","54.8%","20405","53.7%","34792","57.7%","55197","56.2%","69405","53.6%","2.6pp"
"Case of the Gorgon's Kiss","B","U","149699","6.27","15695","9.57","19049","20.4%","50.2%","2979","45.9%","4708","50.6%","7687","48.8%","11257","51.1%","-2.3pp"
"Clandestine Meddler","B","U","124824","4.74","16323","6.82","63587","65.3%","53.1%","10886","52.6%","15624","53.0%","26510","52.9%","36975","53.3%","-0.4pp"
"Torch the Witness","R","U","67839","2.65","27986","2.96","159749","91.5%","57.3%","27349","59.2%","40250","60.4%","67599","59.9%","92064","55.5%","4.4pp"
"Break Out","RG","U","166379","7.28","18560","10.95","8033","7.2%","50.5%","1351","50.6%","1871","47.4%","3222","48.8%","4811","51.6%","-2.9pp"
"Kraul Whipcracker","BG","U","132502","5.21","22683","7.07","84549","61.3%","54.7%","14396","57.0%","21279","57.7%","35675","57.4%","48641","52.7%","4.7pp"
"Undercover Crocodelf","UG","C","371211","5.58","58740","8.15","240145","68.0%","54.0%","40637","53.1%","60955","54.7%","101592","54.1%","138234","54.0%","0.1pp"
"Maverick Thopterist","UR","U","8305","4.07","2442","4.60","10424","70.2%","56.0%","1694","58.2%","2921","60.3%","4615","59.5%","5798","53.2%","6.3pp"
"Treacherous Terrain","RG","U","11687","5.59","1836","7.79","5530","50.0%","54.1%","1016","49.6%","1396","57.0%","2412","53.9%","3112","54.2%","-0.3pp"
"Mystery Key","U","U","11435","5.60","1582","8.14","3528","37.9%","51.9%","588","54.3%","964","52.3%","1552","53.0%","1973","51.0%","2.0pp"
