"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Consuming Ashes","B","C","89052","4.13","21178","5.17","111178","88.1%","55.5%","18124","55.9%","28660","60.1%","46784","58.5%","64025","53.4%","5.1pp"
"Corrupted Conviction","B","C","138708","7.78","16242","11.28","18182","19.2%","52.5%","2974","52.8%","4445","52.6%","7419","52.7%","10749","52.3%","0.4pp"
"Desert's Due","B","C","96925","4.44","23383","5.64","119651","86.0%","55.5%","20787","55.5%","30307","59.3%","51094","57.7%","68177","53.8%","3.9pp"
"Desperate Bloodseeker","B","C","110297","5.09","22788","6.71","114743","85.0%","55.4%","20426","57.5%","28755","57.1%","49181","57.3%","65436","53.9%","3.4pp"
"Fake Your Own Death","B","C","135812","7.35","17912","10.55","31537","30.1%","53.6%","4867","53.2%","7774","56.9%","12641","55.5%","18844","52.4%","3.1pp"
"Forsaken Miner","B","U","38321","4.41","6604","5.88","29752","77.4%","53.6%","5324","57.7%","6992","51.9%","12316","54.4%","17419","53.0%","1.4pp"
"Gisa, the Hellraiser","B","M","2213","1.30","1700","1.28","9501","93.4%","56.0%","1561","61.4%","2458","62.9%","4019","62.3%","5339","51.2%","11.2pp"
"Hollow Marauder","B","U","32120","3.73","10574","4.24","56781","88.5%","57.1%","8931","56.9%","14579","62.9%","23510","60.6%","32955","54.5%","6.1pp"
"Insatiable Avarice","B","R","15034","4.00","1968","5.71","4679","42.3%","51.4%","818","51.0%","1185","55.1%","2003","53.4%","2659","49.8%","3.6pp"
"Kaervek, the Punisher","B","R","7756","2.18","3149","2.23","15740","87.4%","52.1%","2707","50.1%","4054","51.9%","6761","51.1%","8924","52.8%","-1.7pp"
"Lively Dirge","B","U","46254","5.60","7731","7.58","24546","53.9%","54.9%","3767","53.2%","6227","58.8%","9994","56.7%","14474","53.6%","3.1pp"
"Mourner's Surprise","B","C","128158","6.45","21670","8.83","74924","57.9%","55.7%","11974","54.4%","18767","58.9%","30741","57.2%","44042","54.7%","2.5pp"
"Neutralize the Guards","B","U","54145","7.07","6674","10.26","7306","18.8%","51.5%","1264","50.1%","1808","55.4%","3072","53.2%","4217","50.3%","2.9pp"
"Nezumi Linkbreaker","B","C","130739","6.81","16944","9.76","44861","45.2%","53.7%","7880","55.9%","10920","54.1%","18800","54.8%","26037","52.8%","2.0pp"
"Overzealous Muscle","B","C","137188","7.59","15733","11.16","22761","24.8%","50.0%","3434","46.3%","5689","51.3%","9123","49.5%","13647","50.3%","-0.9pp"
"Pitiless Carnage","B","R","22041","5.85","2565","9.01","973","6.5%","48.2%","166","","240","","406","","567","48.5%",""
"Rakish Crew","B","U","41852","5.02","6497","6.68","22363","60.2%","51.5%","3779","48.4%","5508","53.5%","9287","51.4%","13047","51.5%","-0.1pp"
"Rattleback Apothecary","B","U","34556","3.89","6569","5.05","32705","85.0%","53.7%","5679","52.9%","8142","55.0%","13821","54.2%","18871","53.4%","0.7pp"
"Raven of Fell Omens","B","C","111333","5.27","18070","7.29","79760","75.9%","53.0%","14207","53.2%","19914","54.6%","34121","54.0%","45539","52.2%","1.8pp"
"Rictus Robber","B","U","35130","3.97","8332","4.97","41725","85.9%","54.3%","7043","54.1%","10525","56.1%","17568","55.3%","24103","53.5%","1.8pp"
"Rooftop Assassin","B","C","121912","5.93","16402","8.66","59271","61.9%","53.6%","9450","53.0%","14989","57.6%","24439","55.9%","34780","52.0%","3.9pp"
"Rush of Dread","B","R","8690","2.50","3452","2.58","17652","85.5%","55.2%","2817","56.2%","4441","62.9%","7258","60.3%","10266","51.5%","8.8pp"
"Servant of the Stinger","B","U","35299","3.85","8424","4.85","43387","87.6%","55.1%","7775","56.5%","10639","57.1%","18414","56.8%","24933","53.8%","3.0pp"
"Shoot the Sheriff","B","U","28652","3.29","7689","3.97","40767","89.1%","55.2%","7196","55.9%","10368","59.9%","17564","58.3%","23074","52.7%","5.5pp"
"Skulduggery","B","C","125254","6.20","20924","8.50","74177","60.7%","52.8%","12419","52.0%","18462","54.7%","30881","53.6%","43171","52.2%","1.4pp"
"Tinybones Joins Up","B","R","18093","4.84","1983","7.38","1946","17.1%","47.4%","339","","477","","816","47.9%","1124","47.1%","0.9pp"
"Tinybones, the Pickpocket","B","M","3326","1.83","1410","1.90","6852","84.7%","53.3%","1201","56.0%","1726","54.9%","2927","55.4%","3904","51.8%","3.6pp"
"Treasure Dredger","B","U","41747","4.81","7466","6.55","33244","76.6%","53.2%","6024","54.4%","8154","53.3%","14178","53.8%","19025","52.7%","1.0pp"
"Unfortunate Accident","B","U","29897","3.36","8607","3.97","45904","89.5%","55.1%","7658","54.2%","11750","59.2%","19408","57.3%","26347","53.5%","3.8pp"
"Unscrupulous Contractor","B","U","38220","4.34","7305","5.75","32890","77.4%","53.5%","5569","51.8%","8170","56.5%","13739","54.6%","19100","52.8%","1.8pp"
"Vadmir, New Blood","B","R","6308","1.82","3504","1.87","19156","92.1%","55.7%","3492","61.8%","4861","57.3%","8353","59.2%","10800","53.0%","6.2pp"
"Vault Plunderer","B","C","102606","4.66","23097","6.02","121779","88.5%","55.5%","21450","56.3%","30636","58.1%","52086","57.4%","69525","54.1%","3.3pp"
"Brimstone Roundup","R","U","46444","5.78","5630","8.20","13071","41.2%","48.4%","2222","47.3%","3331","48.5%","5553","48.0%","7507","48.6%","-0.7pp"
"Calamity, Galloping Inferno","R","R","5410","1.59","3189","1.59","16819","90.3%","53.8%","2704","53.4%","3977","57.0%","6681","55.5%","9992","52.4%","3.2pp"
"Caught in the Crossfire","R","U","49216","6.04","5482","8.94","9785","31.0%","49.7%","1561","46.3%","2359","50.5%","3920","48.8%","5845","50.3%","-1.5pp"
"Cunning Coyote","R","U","36439","4.09","7076","5.23","33992","82.0%","53.5%","6026","54.3%","7754","53.9%","13780","54.1%","20194","53.1%","0.9pp"
"Deadeye Duelist","R","C","116774","5.61","15925","7.85","63962","70.3%","51.3%","11204","50.3%","15059","51.8%","26263","51.2%","37627","51.3%","-0.1pp"
"Demonic Ruckus","R","U","45788","5.38","6297","7.43","21300","58.2%","52.6%","3685","53.2%","4824","52.3%","8509","52.7%","12784","52.5%","0.2pp"
"Discerning Peddler","R","C","126201","6.25","16663","8.78","64379","65.5%","53.5%","11511","54.2%","14806","53.5%","26317","53.8%","38029","53.3%","0.5pp"
"Explosive Derailment","R","C","94372","4.27","17386","5.63","87626","86.0%","53.5%","14740","52.9%","20932","55.6%","35672","54.5%","51810","52.8%","1.7pp"
"Ferocification","R","U","48649","6.14","5047","9.14","9147","31.5%","51.0%","1456","47.5%","2084","50.4%","3540","49.2%","5601","52.1%","-2.9pp"
"Gila Courser","R","U","38737","4.39","7440","5.73","33739","77.1%","53.4%","5849","52.7%","7708","53.1%","13557","52.9%","20084","53.7%","-0.7pp"
"Great Train Heist","R","R","9581","2.68","2551","2.90","11265","77.0%","52.3%","1735","52.0%","2553","56.0%","4288","54.4%","6959","50.8%","3.6pp"
"Hell to Pay","R","R","9680","2.61","2422","2.93","11485","84.1%","51.2%","1922","48.5%","2837","53.0%","4759","51.2%","6697","51.1%","0.1pp"
"Hellspur Brute","R","U","38266","4.39","6298","5.78","28676","78.4%","52.5%","4644","52.5%","6717","54.7%","11361","53.8%","17346","51.6%","2.2pp"
"Hellspur Posse Boss","R","R","6326","1.81","3347","1.81","17997","89.1%","55.6%","3017","60.1%","4332","62.3%","7349","61.4%","10593","51.5%","9.9pp"
