"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Tempest Harvester","U","C","211112","6.40","33638","8.77","128064","64.5%","53.9%","22248","54.3%","33920","55.9%","56168","55.3%","71892","52.8%","2.5pp"
"Triton Wavebreaker","U","U","85090","7.06","9611","10.36","12275","22.1%","48.9%","2115","46.9%","3078","49.2%","5193","48.3%","7060","49.4%","-1.2pp"
"Tune the Narrative","U","C","200737","6.03","33007","8.11","126097","64.7%","54.2%","22102","53.8%","33315","56.4%","55417","55.4%","70737","53.3%","2.1pp"
"Ugin's Binding","U","M","5576","2.21","2512","2.18","11566","75.9%","56.4%","2048","57.1%","3011","62.2%","5059","60.2%","6461","53.6%","6.6pp"
"Unfathomable Truths","U","C","195040","5.52","33098","7.59","144904","73.4%","54.8%","23596","54.8%","39021","59.4%","62617","57.7%","82411","52.6%","5.1pp"
"Utter Insignificance","U","C","206557","6.08","27434","8.84","103959","64.5%","53.1%","17147","50.8%","27714","56.4%","44861","54.2%","58472","52.1%","2.1pp"
"Volatile Stormdrake","U","R","20355","3.60","4823","4.21","21277","74.1%","55.7%","3680","56.1%","5919","59.1%","9599","58.0%","11830","53.8%","4.1pp"
"Accursed Marauder","B","C","189364","5.58","30080","7.42","135093","75.8%","54.2%","23692","54.8%","33220","57.8%","56912","56.5%","77412","52.5%","4.1pp"
"Arcbound Condor","B","U","63185","4.89","9556","6.41","36809","66.8%","51.4%","6040","50.3%","8081","52.3%","14121","51.5%","22696","51.3%","0.1pp"
"Breathe Your Last","B","C","137479","3.90","28949","4.86","151710","89.2%","53.8%","25246","52.9%","37899","58.2%","63145","56.1%","87981","52.2%","3.9pp"
"Chthonian Nightmare","B","R","16440","3.07","5551","3.16","26012","79.4%","54.0%","4361","51.8%","6567","59.0%","10928","56.1%","14636","52.2%","4.0pp"
"Consuming Corruption","B","U","73221","5.80","10408","7.97","33040","54.3%","52.8%","5467","51.7%","8452","56.9%","13919","54.9%","18975","51.3%","3.5pp"
"Crabomination","B","R","9716","1.85","5740","1.78","32109","91.8%","56.5%","5202","62.0%","8074","65.3%","13276","64.0%","18668","51.1%","12.9pp"
"The Creation of Avacyn","B","U","86276","7.49","8708","11.35","4362","8.5%","48.8%","756","45.5%","1038","47.6%","1794","46.7%","2567","50.5%","-3.8pp"
"Dreadmobile","B","U","83594","6.85","10995","9.54","25266","39.2%","51.7%","4188","50.0%","5618","49.8%","9806","49.9%","15460","52.9%","-3.0pp"
"Dreamdrinker Vampire","B","C","206958","6.22","27167","8.83","100006","63.1%","52.5%","17632","53.5%","23580","53.5%","41212","53.5%","58655","51.8%","1.7pp"
"Drossclaw","B","C","219111","7.14","25081","10.29","61359","42.0%","51.8%","10860","51.6%","13247","51.8%","24107","51.7%","37211","51.8%","-0.0pp"
"Emperor of Bones","B","R","11512","2.10","5089","2.17","27237","90.3%","54.3%","4820","57.2%","6628","58.9%","11448","58.2%","15674","51.3%","6.9pp"
"Etched Slith","B","U","59063","4.41","9628","5.75","44019","79.2%","51.9%","7889","54.4%","9838","50.3%","17727","52.1%","26260","51.7%","0.5pp"
"Etherium Pteramander","B","U","66647","5.10","10077","6.72","40406","68.1%","53.7%","7191","55.8%","8810","55.2%","16001","55.5%","24265","52.4%","3.1pp"
"Eviscerator's Insight","B","C","216175","6.85","30354","9.38","103745","57.9%","53.9%","17201","51.9%","26656","57.4%","43857","55.2%","59684","52.9%","2.3pp"
"Fetid Gargantua","B","C","212348","6.53","25835","9.51","82966","55.2%","51.6%","13101","48.9%","21147","53.3%","34248","51.6%","48813","51.6%","0.0pp"
"Flare of Malice","B","R","17874","3.16","4328","3.62","20674","81.2%","53.8%","3359","53.2%","5258","58.6%","8617","56.5%","12014","51.9%","4.6pp"
"Gravedig","B","C","220594","6.96","28111","9.91","71411","43.6%","51.0%","11759","46.7%","17230","52.9%","28989","50.4%","42456","51.4%","-1.0pp"
"Grim Servant","B","U","76476","5.97","10521","8.36","32141","52.5%","52.2%","5292","49.3%","7866","55.3%","13158","52.8%","18959","51.8%","1.1pp"
"Kami of Jealous Thirst","B","C","217659","7.13","28104","9.86","76908","46.7%","53.1%","12904","50.9%","22765","57.8%","35669","55.3%","41353","51.1%","4.1pp"
"Lethal Throwdown","B","U","68953","5.20","11265","6.93","47131","71.1%","53.3%","7404","52.4%","11313","56.3%","18717","54.8%","28142","52.4%","2.4pp"
"Marionette Apprentice","B","U","46170","3.46","13628","3.90","72936","88.2%","56.0%","13004","60.2%","17295","59.8%","30299","59.9%","42247","53.0%","6.9pp"
"Mindless Conscription","B","U","75425","6.18","13079","7.70","41682","53.5%","55.0%","7305","57.1%","12508","58.8%","19813","58.1%","21831","52.1%","6.1pp"
"Necrodominance","B","M","13316","4.76","1749","6.93","1397","13.9%","46.3%","232","","356","","588","42.3%","800","49.1%","-6.8pp"
"Nethergoyf","B","M","7330","2.72","1766","3.04","7062","68.8%","52.5%","1202","56.2%","1694","55.1%","2896","55.5%","4100","50.4%","5.2pp"
"Quest for the Necropolis","B","U","80720","6.50","9979","9.38","20962","36.4%","49.7%","3516","48.7%","5251","50.1%","8767","49.5%","12056","49.8%","-0.3pp"
"Refurbished Familiar","B","C","182086","5.34","30333","6.99","132197","73.4%","54.2%","22424","55.1%","30033","57.6%","52457","56.5%","79388","52.6%","3.9pp"
"Retrofitted Transmogrant","B","C","208333","6.43","26291","9.13","97586","63.4%","52.9%","17180","54.3%","22530","53.6%","39710","53.9%","57530","52.3%","1.6pp"
"Ripples of Undeath","B","R","35302","6.29","4102","9.62","1438","5.9%","46.1%","245","","368","","613","42.3%","827","49.0%","-6.7pp"
"Scurrilous Sentry","B","C","214568","6.76","28055","9.51","87703","53.0%","53.6%","14439","54.5%","23339","56.8%","37778","55.9%","50024","51.9%","4.0pp"
"Shilgengar, Sire of Famine","WB","R","11612","2.19","4813","2.26","24911","87.8%","52.8%","4022","51.8%","6243","56.7%","10265","54.8%","14689","51.4%","3.4pp"
"Warren Soultrader","B","R","21082","3.69","4234","4.59","17880","72.3%","51.9%","3061","49.7%","4293","52.6%","7354","51.4%","10528","52.1%","-0.7pp"
"Wither and Bloom","B","C","141420","3.94","32463","4.89","172155","88.7%","54.6%","30050","56.3%","41631","58.3%","71681","57.5%","99828","52.5%","5.0pp"
"Wurmcoil Larva","B","U","46415","3.46","10334","4.19","53146","87.2%","53.9%","8616","54.0%","13251","57.4%","21867","56.1%","31362","52.3%","3.8pp"
"Aether Revolt","R","R","17720","3.34","5861","3.41","26588","76.1%","54.7%","4529","53.5%","6063","54.4%","10592","54.0%","16026","55.1%","-1.1pp"
"Amped Raptor","R","U","41852","3.17","16602","3.41","93897","90.1%","59.5%","17039","65.3%","19048","62.9%","36087","64.0%","57505","56.6%","7.4pp"
"Ashling, Flame Dancer","R","M","7734","2.93","2093","3.22","8544","70.4%","52.7%","1379","51.6%","2005","51.9%","3384","51.8%","5163","53.2%","-1.4pp"
"Detective's Phoenix","R","R","10666","2.01","6150","2.03","35350","93.9%","57.3%","6265","57.1%","7430","59.8%","13695","58.6%","21517","56.4%","2.2pp"
"Eldrazi Linebreaker","R","R","11384","2.17","5429","2.17","27718","84.5%","56.0%","4654","57.8%","6085","58.6%","10739","58.2%","16592","54.3%","4.0pp"
"Fanged Flames","R","C","127502","3.49","33167","4.38","182073","91.1%","55.7%","31576","55.1%","38417","56.2%","69993","55.7%","111985","55.7%","-0.0pp"
"Flare of Duplication","R","R","34337","5.88","4035","8.98","2403","10.3%","49.2%","385","","514","44.2%","899","45.6%","1503","51.4%","-5.8pp"
"Frogmyr Enforcer","R","U","84165","6.93","9407","10.10","16602","30.3%","50.5%","2550","45.7%","3370","49.1%","5920","47.7%","10675","52.0%","-4.3pp"
"Furnace Hellkite","R","U","72840","5.89","9307","8.29","26910","49.7%","51.2%","4094","48.2%","5503","52.0%","9597","50.4%","17332","51.5%","-1.1pp"
"Galvanic Discharge","R","C","107053","3.10","41886","3.49","242259","93.2%","58.1%","41803","60.3%","51218","60.0%","93021","60.1%","148927","56.9%","3.2pp"
"Ghostfire Slice","R","U","40625","2.96","13114","3.52","73168","92.4%","55.9%","12453","54.3%","15271","58.0%","27724","56.4%","45403","55.6%","0.8pp"
"Glimpse the Impossible","R","C","199956","5.90","37280","7.89","153919","67.9%","56.7%","26115","55.8%","32460","58.9%","58575","57.5%","95323","56.3%","1.2pp"
"Infernal Captor","R","C","230278","7.74","31320","10.90","57572","30.5%","54.4%","8937","51.8%","11583","54.7%","20520","53.4%","36866","54.9%","-1.4pp"
"Inventor's Axe","R","C","225679","7.60","29896","10.72","59676","33.3%","55.2%","9577","55.3%","11633","54.7%","21210","55.0%","38338","55.3%","-0.3pp"
"Mogg Mob","R","U","88869","7.69","10997","11.00","10638","16.0%","55.1%","1762","53.7%","2129","55.9%","3891","54.9%","6733","55.1%","-0.3pp"
"Molten Gatekeeper","R","C","189713","5.51","31537","7.61","147296","77.6%","55.3%","25107","54.1%","29112","54.2%","54219","54.2%","92652","55.8%","-1.7pp"
"Party Thrasher","R","R","17624","3.13","5800","3.45","30377","86.6%","56.5%","5547","60.2%","6372","57.1%","11919","58.6%","18433","55.2%","3.4pp"
"Phyrexian Ironworks","R","U","62110","4.79","11682","6.12","48926","70.8%","53.4%","8208","52.0%","10469","52.6%","18677","52.4%","30177","54.1%","-1.7pp"
"Powerbalance","R","R","35046","6.29","3788","9.84","941","4.2%","48.1%","144","","197","","341","","595","51.9%",""
"Ral and the Implicit Maze","R","U","59334","4.43","15442","5.30","73171","77.9%","56.9%","11693","56.6%","15795","59.6%","27488","58.3%","45238","56.0%","2.3pp"
"Reckless Pyrosurfer","R","U","62453","4.56","15544","5.49","79617","83.3%","57.3%","14362","57.8%","15310","55.3%","29672","56.5%","49774","57.7%","-1.2pp"
"Reiterating Bolt","R","U","46563","3.40","13229","4.05","69408","88.0%","55.0%","11902","53.9%","14811","55.5%","26713","54.8%","42717","55.2%","-0.4pp"
"Sarpadian Simulacrum","R","C","220955","7.18","28069","10.30","72176","43.0%","54.2%","12498","55.0%","14058","52.7%","26556","53.8%","45464","54.5%","-0.7pp"
"Siege Smash","R","C","229615","7.67","30671","10.85","64425","34.7%","56.5%","9995","55.0%","12658","55.5%","22653","55.3%","41768","57.2%","-1.9pp"
"Skittering Precursor","R","U","62172","4.42","12038","5.91","57470","78.8%","55.8%","9834","54.8%","11920","55.8%","21754","55.4%","35422","56.0%","-0.6pp"
"Skoa, Embermage","R","C","210084","6.29","33025","8.81","115898","57.9%","55.7%","17575","53.2%","24300","56.1%","41875","54.9%","73316","56.0%","-1.1pp"
"Smelted Chargebug","R","C","193127","5.65","36842","7.39","178019","79.3%","56.6%","31607","57.0%","34963","55.9%","66570","56.5%","111190","56.6%","-0.2pp"
"Spawn-Gang Commander","R","U","37182","2.83","14589","3.11","77223","86.7%","56.8%","12574","56.8%","16631","61.0%","29205","59.2%","47170","55.1%","4.1pp"
"Thriving Skyclaw","R","C","211699","6.63","27393","9.54","83673","51.0%","54.2%","13236","52.6%","17549","53.6%","30785","53.1%","52864","54.8%","-1.7pp"
"Unstable Amulet","R","U","65089","4.97","13922","6.09","61920","73.4%","56.4%","11020","56.4%","13354","57.4%","24374","57.0%","37401","56.1%","0.9pp"
"Voidpouncer","R","C","199761","5.74","30377","8.15","123774","67.8%","55.3%","21431","53.9%","25164","53.9%","46595","53.9%","76427","56.0%","-2.1pp"
"Wheel of Potential","R","R","35415","6.21","4161","9.40","2112","8.6%","49.1%","297","","480","","777","47.6%","1337","50.0%","-2.3pp"
"Basking Broodscale","G","C","136006","3.63","32008","4.67","179084","92.9%","55.9%","32042","58.4%","39036","55.8%","71078","56.9%","106262","55.2%","1.8pp"
"Birthing Ritual","G","M","11656","4.30","1411","6.27","1972","23.8%","51.3%","336","","458","","794","51.4%","1151","51.3%","0.1pp"
"Collective Resistance","G","U","74997","5.49","11588","7.58","49710","70.7%","56.1%","8018","56.2%","11264","58.9%","19282","57.7%","30400","55.1%","2.7pp"
"Colossal Dreadmask","G","C","201386","5.80","28922","8.23","122241","70.6%","55.0%","18692","52.9%","27682","55.5%","46374","54.4%","74749","55.2%","-0.8pp"
"Eladamri, Korvecdal","G","M","4385","1.68","2295","1.62","11706","88.1%","53.0%","2002","51.4%","2662","53.6%","4664","52.7%","6904","53.0%","-0.3pp"
"Eldrazi Repurposer","G","C","121996","3.32","34965","4.02","197378","92.3%","57.3%","35260","60.2%","43919","59.3%","79179","59.7%","115106","55.5%","4.2pp"
"Evolution Witness","G","C","166220","4.49","29688","6.18","154439","87.5%","54.5%","26392","52.0%","33928","55.5%","60320","54.0%","91966","54.7%","-0.7pp"
"Fanatic of Rhonas","G","R","9636","1.84","5206","1.83","27944","89.3%","56.3%","4983","64.7%","6219","56.5%","11202","60.1%","16527","53.6%","6.5pp"
"Fangs of Kalonia","G","U","68820","5.10","9338","7.19","36245","66.4%","52.4%","5535","49.3%","7678","53.6%","13213","51.8%","23018","52.8%","-1.0pp"
"Flare of Cultivation","G","R","25483","4.38","3030","6.42","7801","44.8%","50.1%","1305","48.7%","1757","49.9%","3062","49.4%","4744","50.5%","-1.1pp"
"Fowl Strike","G","C","226430","7.15","26691","10.51","57157","35.9%","53.1%","8819","50.9%","12555","53.5%","21374","52.5%","35774","53.4%","-0.9pp"
"Gift of the Viper","G","C","214667","6.43","25496","9.51","84728","55.7%","54.3%","13142","54.0%","18384","55.9%","31526","55.1%","53125","53.9%","1.2pp"
"Horrific Assault","G","C","131720","3.56","36481","4.40","203131","91.6%","56.6%","33541","57.1%","45931","60.1%","79472","58.8%","123239","55.2%","3.6pp"
"The Hunger Tide Rises","G","U","81716","6.39","9266","9.45","20796","38.1%","51.9%","3480","50.1%","4599","50.1%","8079","50.1%","12538","53.0%","-2.9pp"
"Hydra Trainer","G","U","68320","5.07","9618","7.02","38358","68.1%","52.3%","6799","51.3%","7923","49.1%","14722","50.1%","23477","53.7%","-3.5pp"
"Lion Umbra","G","U","80033","6.25","9288","9.24","22955","41.8%","53.1%","3534","51.9%","4687","52.1%","8221","52.0%","14563","53.6%","-1.6pp"
"Malevolent Rumble","G","C","174235","4.90","38753","6.12","198692","83.6%","57.6%","35980","60.7%","44457","59.7%","80437","60.1%","118197","56.0%","4.2pp"
"Monstrous Vortex","G","U","86541","7.38","8943","11.05","5086","9.7%","48.1%","797","45.5%","1224","47.1%","2021","46.5%","3024","49.2%","-2.7pp"
"Nightshade Dryad","G","C","118760","3.25","33510","3.93","187987","92.0%","56.6%","34292","61.5%","41801","56.5%","76093","58.7%","109772","55.0%","3.7pp"
"Nyxborn Hydra","G","C","168077","4.57","28483","6.33","147533","86.2%","55.3%","24298","53.4%","32611","58.1%","56909","56.1%","88654","54.6%","1.4pp"
"Path of Annihilation","G","U","38314","2.97","13948","3.15","72135","85.0%","57.1%","12497","61.8%","17054","60.5%","29551","61.0%","41138","54.0%","7.0pp"
"Primal Prayers","G","R","33334","5.86","3627","9.03","1079","5.0%","42.5%","169","","254","","423","","646","44.7%",""
"Propagator Drone","G","U","35359","2.64","11784","3.03","64389","91.1%","55.3%","11459","55.7%","14402","56.8%","25861","56.3%","37567","54.4%","1.9pp"
"Signature Slam","G","U","42907","3.09","14358","3.57","79481","90.8%","56.6%","13160","57.4%","17895","60.6%","31055","59.3%","48327","54.8%","4.5pp"
"Six","G","R","9418","1.76","5561","1.76","30625","91.6%","56.0%","5573","59.6%","6946","57.7%","12519","58.6%","17677","53.8%","4.7pp"
"Sowing Mycospawn","G","R","11288","2.09","4961","2.17","26527","89.5%","55.5%","4489","59.3%","6049","58.7%","10538","59.0%","15500","52.9%","6.0pp"
"Springheart Nantuko","G","R","8148","1.58","5438","1.56","30032","92.1%","55.8%","5445","61.3%","6590","57.1%","12035","59.0%","17302","53.3%","5.7pp"
"Temperamental Oozewagg","G","C","193675","5.44","28036","7.79","128442","76.5%","54.7%","21152","53.7%","27996","54.8%","49148","54.4%","78353","54.8%","-0.5pp"
"Territory Culler","G","U","35497","2.65","11939","3.04","66557","92.8%","55.4%","11128","55.1%","15743","57.7%","26871","56.6%","38830","54.2%","2.4pp"
"Thief of Existence","G","R","12825","2.45","3974","2.63","19091","84.5%","52.2%","3136","49.7%","4380","52.4%","7516","51.3%","11366","52.5%","-1.2pp"
"Trickster's Elk","G","U","72990","5.28","10303","7.50","41787","68.9%","53.3%","7085","50.7%","8882","51.6%","15967","51.2%","25428","54.5%","-3.3pp"
"Wumpus Aberration","G","U","41075","3.02","12172","3.59","66145","90.7%","55.1%","11072","55.8%","15334","56.4%","26406","56.1%","38759","54.1%","2.1pp"
"Abstruse Appropriation","WB","R","15364","2.86","4822","3.04","22014","77.6%","53.3%","3613","54.1%","5246","58.7%","8859","56.8%","13131","51.0%","5.8pp"
"Arna Kennerüd, Skycaptain","WUB","M","7772","3.17","2212","3.29","8732","68.0%","52.4%","1428","54.9%","2238","55.8%","3666","55.5%","5078","50.1%","5.4pp"
"Conduit Goblin","WR","C","180306","5.67","41053","6.68","187796","74.0%","58.4%","32577","60.7%","34675","56.7%","67252","58.6%","120507","58.3%","0.4pp"
"Cranial Ram","BR","C","193087","6.39","29737","8.28","96920","55.1%","54.1%","16983","56.7%","19713","55.2%","36696","55.9%","59998","52.9%","3.0pp"
"Cursed Wombat","BG","U","55398","4.33","11010","5.27","46960","72.9%","52.7%","8227","55.6%","10237","53.7%","18464","54.5%","28149","51.4%","3.1pp"
"Cyclops Superconductor","UR","C","210359","6.91","31445","9.35","89940","48.4%","53.4%","15024","52.7%","22683","55.7%","37707","54.5%","52280","52.6%","1.9pp"
"Emissary of Soulfire","WU","U","72948","5.91","12528","7.67","42203","56.7%","54.4%","7015","53.9%","9983","54.6%","16998","54.3%","25279","54.6%","-0.2pp"
"Expanding Ooze","BG","C","195876","6.07","25535","8.53","85319","57.3%","51.6%","14583","50.5%","18815","51.7%","33398","51.2%","51418","51.7%","-0.6pp"
"Faithful Watchdog","WG","C","195283","6.20","29449","8.27","104509","59.0%","55.5%","18396","58.3%","20230","53.4%","38626","55.7%","65464","55.4%","0.4pp"
"Genku, Future Shaper","WU","R","12860","2.53","5846","2.51","29570","85.1%","54.8%","4951","56.7%","7407","58.7%","12358","57.9%","17273","52.5%","5.3pp"
"Golden-Tail Trainer","WG","U","76592","6.33","10509","8.73","27703","45.1%","51.7%","4645","47.2%","5380","47.4%","10025","47.3%","17627","54.3%","-7.0pp"
"Horrid Shadowspinner","UB","U","76961","6.33","11909","8.24","36222","51.9%","54.6%","6199","55.3%","11151","58.7%","17350","57.5%","19041","52.0%","5.5pp"
"Imskir Iron-Eater","BR","R","23352","4.37","4055","5.41","12241","52.5%","50.0%","1957","44.5%","2563","48.2%","4520","46.6%","7732","52.0%","-5.4pp"
"Invert Polarity","UR","R","23871","4.26","5662","4.94","21392","64.5%","52.9%","3522","54.0%","5636","57.0%","9158","55.9%","12259","50.7%","5.1pp"
"Izzet Generatorium","UR","U","77787","6.58","11727","8.79","26499","38.8%","51.2%","4497","48.1%","6558","50.6%","11055","49.6%","15436","52.4%","-2.8pp"
"Kudo, King Among Bears","WG","R","30033","5.29","4404","7.46","10115","38.7%","54.8%","1802","53.8%","1931","52.0%","3733","52.9%","6312","55.8%","-2.9pp"
"Nadu, Winged Wisdom","UG","R","9400","1.85","5652","1.80","29637","87.5%","56.0%","5217","60.7%","7272","60.6%","12489","60.7%","16691","52.2%","8.5pp"
"The Necrobloom","WBG","R","26902","4.83","3709","6.81","6977","33.1%","47.3%","1100","46.4%","1606","47.7%","2706","47.2%","4228","47.4%","-0.3pp"
"Obstinate Gargoyle","WB","C","224568","7.62","27476","10.73","52703","33.0%","51.0%","8847","50.0%","11453","51.1%","20300","50.6%","32202","51.3%","-0.7pp"
"Ondu Knotmaster","WB","U","68532","5.38","9927","7.32","32765","57.1%","51.0%","5337","48.9%","7119","51.6%","12456","50.4%","20194","51.2%","-0.8pp"
"Phlage, Titan of Fire's Fury","WR","M","4531","1.80","2783","1.71","14748","84.7%","59.3%","2578","63.3%","3017","64.9%","5595","64.1%","9126","56.3%","7.8pp"
"Planar Genesis","UG","U","73902","5.64","10317","7.96","37576","62.0%","52.9%","6442","51.2%","9436","53.8%","15878","52.8%","21702","53.0%","-0.2pp"
"Psychic Frog","UB","R","15038","3.01","5596","2.96","25306","75.8%","55.7%","4423","66.5%","7593","58.8%","12016","61.7%","13328","50.2%","11.5pp"
"Pyretic Rebirth","BR","U","72800","5.63","11830","7.57","39193","56.8%","52.4%","6252","49.1%","8611","55.4%","14863","52.8%","24295","52.2%","0.6pp"
"Riddle Gate Gargoyle","WU","C","199586","6.41","33512","8.28","116815","57.6%","56.5%","19875","59.1%","27642","58.4%","47517","58.7%","68919","55.1%","3.6pp"
"Rosheen, Roaring Prophet","RG","R","35224","6.17","4282","9.29","2414","9.6%","52.8%","408","","490","","898","53.1%","1491","52.5%","0.6pp"
"Scurry of Gremlins","WR","U","52015","4.13","16891","4.48","85812","81.8%","58.5%","14309","59.0%","16810","62.0%","31119","60.7%","54301","57.2%","3.4pp"
"Snapping Voidcraw","UG","C","150067","4.42","26517","5.74","123833","79.7%","53.3%","21830","53.1%","30538","53.7%","52368","53.4%","69908","53.1%","0.3pp"
"Sneaky Snacker","UB","C","207116","7.06","35797","8.70","114272","53.6%","55.4%","19806","57.1%","35927","59.8%","55733","58.8%","58568","52.1%","6.8pp"
"Titans' Vanguard","RG","U","35414","2.80","13565","3.04","71096","86.1%","56.9%","11879","58.0%","16171","60.0%","28050","59.1%","41557","54.8%","4.3pp"
"Wight of the Reliquary","BG","R","18994","3.48","4148","4.11","16300","67.3%","52.5%","2880","54.0%","3728","55.3%","6608","54.7%","9552","50.8%","3.9pp"
"Writhing Chrysalis","RG","C","84459","2.70","40500","2.79","225309","88.9%","58.9%","39142","64.3%","50461","63.7%","89603","64.0%","130424","55.0%","9.0pp"
"Disruptor Flute","","R","38368","6.74","4407","10.23","114","0.4%","","18","","21","","39","","75","",""
"Idol of False Gods","","U","67263","4.95","7801","7.29","28433","63.6%","50.9%","5003","48.2%","6631","51.2%","11634","49.9%","16603","51.5%","-1.6pp"
"Solar Transformer","","U","57048","3.95","13316","4.97","66114","82.7%","55.1%","12344","58.4%","15287","54.7%","27631","56.3%","38250","54.2%","2.1pp"
"Vexing Bauble","","U","91861","7.89","9369","11.72","4326","7.8%","50.3%","788","48.0%","900","50.6%","1688","49.3%","2637","50.9%","-1.5pp"
"Winter Moon","","R","37642","6.66","4200","10.25","97","0.4%","","16","","21","","37","","60","",""
"Archway of Innovation","U","R","36257","6.20","4180","9.48","3021","12.4%","45.9%","512","42.4%","774","45.5%","1286","44.2%","1738","47.1%","-2.9pp"
"Arena of Glory","R","R","30403","4.94","4810","6.89","20594","71.5%","55.8%","3476","56.0%","4201","55.1%","7677","55.5%","12849","55.9%","-0.4pp"
"Bloodstained Mire","","R","27063","4.31","3878","6.26","12976","56.7%","53.3%","2329","53.5%","2825","54.7%","5154","54.2%","7799","52.6%","1.5pp"
"Bountiful Landscape","URG","C","191048","5.05","35478","7.06","189666","88.8%","55.7%","34697","56.8%","42885","56.1%","77582","56.4%","110925","55.3%","1.1pp"
"Contaminated Landscape","WUB","C","216439","6.26","32135","8.94","135796","71.3%","53.8%","24354","54.2%","33170","55.5%","57524","55.0%","78154","52.9%","2.0pp"
"Deceptive Landscape","WBG","C","212293","6.00","29993","8.67","129413","73.1%","53.6%","23299","54.4%","27727","53.8%","51026","54.0%","77995","53.3%","0.8pp"
"Flooded Strand","","R","26598","4.29","4096","5.97","14958","61.3%","54.2%","2681","54.9%","3384","54.0%","6065","54.4%","8891","54.0%","0.4pp"
"Foreboding Landscape","UBG","C","205421","5.59","31646","8.01","158008","84.2%","54.1%","28817","54.9%","37871","55.4%","66688","55.2%","90646","53.3%","1.8pp"
"Monumental Henge","W","R","33315","5.61","4453","8.29","11676","44.4%","55.1%","2051","54.0%","2416","52.9%","4467","53.4%","7186","56.2%","-2.9pp"
"Perilous Landscape","WUR","C","207078","5.73","36408","8.04","182583","83.1%","55.7%","33168","56.6%","40232","55.1%","73400","55.8%","108835","55.6%","0.2pp"
"Polluted Delta","","R","27372","4.37","3938","6.28","12636","55.4%","52.2%","2316","51.0%","3318","54.1%","5634","52.8%","7004","51.7%","1.1pp"
"Seething Landscape","UBR","C","209940","5.86","33639","8.38","163180","81.6%","54.2%","28991","55.3%","39286","55.2%","68277","55.2%","94503","53.5%","1.8pp"
"Shattered Landscape","WBR","C","215695","6.17","33298","8.84","148102","74.3%","54.7%","26576","55.5%","31171","53.9%","57747","54.7%","90187","54.7%","-0.0pp"
"Sheltering Landscape","WRG","C","205270","5.53","35632","7.85","186759","86.3%","56.4%","33828","57.4%","38811","55.6%","72639","56.4%","113329","56.4%","0.1pp"
