"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Junk Diver","","U","96504","7.50","10034","11.10","11578","19.7%","49.6%","1883","47.1%","2410","48.0%","4293","47.6%","7273","50.8%","-3.2pp"
"Pearl Medallion","","R","29287","6.51","3027","10.30","522","2.9%","49.2%","96","","105","","201","","313","",""
"Ruby Medallion","","R","28557","6.26","2903","9.94","871","5.1%","45.9%","127","","185","","312","","557","48.3%",""
"Sapphire Medallion","","R","28687","6.38","2879","10.12","444","2.6%","","85","","105","","190","","255","",""
"Urza's Incubator","","R","24728","5.45","2315","8.70","2409","18.0%","46.1%","386","","582","42.6%","968","42.9%","1427","48.1%","-5.3pp"
"Worn Powerstone","","U","73239","4.97","9312","7.09","35182","65.0%","51.8%","6314","51.9%","8283","52.0%","14597","52.0%","20359","51.6%","0.3pp"
"Barbarian Ring","R","U","99403","8.00","12099","11.49","18131","25.0%","54.9%","3030","53.6%","3670","52.8%","6700","53.2%","11408","56.0%","-2.8pp"
"Cephalid Coliseum","U","U","99107","8.10","11500","11.69","12000","17.7%","51.3%","1986","48.9%","3349","53.2%","5335","51.6%","6705","51.1%","0.6pp"
"Deserted Temple","","R","30143","6.42","2978","10.04","2522","14.5%","46.6%","414","","574","45.8%","988","44.3%","1537","47.8%","-3.4pp"
"Nesting Grounds","","U","93595","6.71","11600","9.79","32549","47.9%","52.2%","5219","50.9%","7150","52.5%","12369","51.8%","20007","52.4%","-0.5pp"
"Phyrexian Tower","B","M","10032","4.21","1238","5.89","3250","46.9%","48.8%","531","47.1%","751","53.8%","1282","51.0%","1956","47.3%","3.7pp"
"Solitude","W","M","842","1.57","512","1.59","2677","86.9%","56.6%","453","","595","65.0%","1048","61.7%","1614","53.3%","8.5pp"
"Subtlety","U","M","990","1.96","465","","2297","84.9%","53.0%","395","","652","56.0%","1047","54.1%","1234","51.9%","2.2pp"
"Grief","B","M","928","1.96","435","","2172","82.8%","55.8%","416","","528","61.0%","944","59.0%","1218","53.0%","6.0pp"
"Fury","R","M","707","1.42","529","1.39","2983","89.6%","57.7%","503","63.4%","630","63.3%","1133","63.4%","1838","54.1%","9.2pp"
"Endurance","G","M","1170","2.19","404","","1853","78.2%","54.6%","308","","424","","732","53.8%","1096","55.1%","-1.3pp"
"Thought-Knot Seer","","M","863","1.66","426","","2181","86.7%","53.9%","355","","550","54.2%","905","55.8%","1259","52.3%","3.5pp"
"Prismatic Ending","W","M","2352","4.03","385","","755","34.9%","52.2%","136","","143","","279","","472","",""
"Dismember","B","M","882","1.68","491","","2880","95.4%","56.2%","483","","681","60.4%","1164","60.1%","1710","53.7%","6.3pp"
"Persist","B","M","1503","2.99","358","","1284","62.5%","51.3%","208","","294","","502","52.0%","777","51.0%","1.0pp"
"Expressive Iteration","UR","M","2298","3.94","425","","1425","57.3%","51.7%","245","","357","","602","55.8%","824","48.8%","7.0pp"
"Disa the Restless","BRG","M","6117","3.23","1591","3.63","6214","67.8%","51.9%","1020","52.3%","1442","52.0%","2462","52.1%","3695","51.4%","0.7pp"
"Omo, Queen of Vesuva","UG","M","9252","4.57","1017","7.02","1831","31.9%","47.8%","322","","426","","748","48.7%","1071","47.1%","1.6pp"
"Satya, Aetherflux Genius","WUR","M","5287","2.84","2063","2.78","10463","82.9%","57.1%","1819","63.1%","2383","62.8%","4202","62.9%","6290","53.4%","9.5pp"
"Ulalek, Fused Atrocity","WUBRG","M","6457","3.38","1257","4.12","4504","63.2%","49.0%","780","42.8%","1100","46.9%","1880","45.2%","2577","51.5%","-6.3pp"
"Azlask, the Swelling Scourge","WUBRG","M","9580","4.80","1207","7.03","1397","20.1%","47.2%","234","","307","","541","47.1%","842","47.4%","-0.3pp"
"Cayth, Famed Mechanist","WUR","M","6907","3.49","1905","3.91","7375","66.3%","53.5%","1186","54.6%","1781","54.7%","2967","54.6%","4429","52.7%","1.9pp"
"Coram, the Undertaker","BRG","M","7496","3.79","1489","4.59","4840","55.8%","51.7%","790","46.7%","1078","49.8%","1868","48.5%","2922","53.4%","-4.9pp"
"Jyoti, Moag Ancient","UG","M","11904","5.83","1359","9.01","206","2.7%","","29","","58","","87","","117","",""
