"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Tumbleweed Rising","G","C","214383","6.16","34245","8.70","104641","50.6%","55.5%","16996","55.1%","24005","56.5%","41001","55.9%","63443","55.3%","0.6pp"
"Voracious Varmint","G","C","203805","5.46","35812","7.72","164913","76.4%","55.2%","28710","54.7%","37465","54.8%","66175","54.8%","98362","55.4%","-0.7pp"
"Akul the Unrepentant","BR","R","20167","3.31","4155","3.88","15932","66.4%","51.7%","2532","52.6%","3964","55.8%","6496","54.5%","9397","49.8%","4.7pp"
"Annie Flash, the Veteran","WRG","M","6247","2.21","3037","2.19","15881","86.1%","56.1%","2631","58.9%","3657","60.2%","6288","59.7%","9525","53.7%","6.0pp"
"Annie Joins Up","WRG","R","32427","4.95","4620","7.16","9885","36.1%","53.7%","1599","52.8%","2221","53.4%","3820","53.2%","6052","54.0%","-0.8pp"
"Assimilation Aegis","WU","M","7289","2.51","2937","2.58","13420","77.0%","54.4%","2253","55.9%","3545","58.6%","5798","57.6%","7568","51.8%","5.7pp"
"At Knifepoint","BR","U","68870","4.98","11065","6.58","40196","63.7%","50.3%","6763","49.8%","9910","51.1%","16673","50.5%","23415","50.0%","0.5pp"
"Badlands Revival","BG","U","65727","4.47","17222","5.48","79002","76.3%","55.3%","12511","53.5%","19736","59.3%","32247","57.0%","46355","54.0%","3.0pp"
"Baron Bertram Graywater","WB","U","73144","5.17","11352","7.17","36880","55.3%","52.9%","6038","50.8%","9350","55.7%","15388","53.8%","21511","52.2%","1.6pp"
"Bonny Pall, Clearcutter","UG","R","9717","1.71","6985","1.65","39892","92.2%","57.6%","6696","64.2%","10419","67.3%","17115","66.1%","22207","50.6%","15.5pp"
"Breeches, the Blastmaker","UR","R","27990","4.44","4255","5.95","9859","40.6%","48.5%","1698","48.9%","2638","48.7%","4336","48.8%","5516","48.2%","0.6pp"
