step,training_loss
1000,1.3384007184536426
2000,1.3603271179795264
3000,1.2846777414679527
4000,1.3480574232935905
5000,1.2918913306593895
6000,1.3350874042510987
7000,1.3175009373426438
8000,1.3798103387355805
9000,1.4020577009022235
10000,1.3286119969189167
11000,1.3684241618216038
12000,1.2692013957500459
13000,1.3287689548432826
14000,1.3250167658925056
15000,1.3273933431208134
16000,1.3370060778558255
17000,1.2666565382778645
18000,1.367587839603424
19000,1.3344799960255622
20000,1.3474493954181672
21000,1.3436529601812364
22000,1.3353730322122574
23000,1.350966647297144
24000,1.2983533040285111
25000,1.324594749480486
26000,1.2865980422496797
27000,1.2468801465928554
28000,1.2820098343491555
29000,1.2785687591433526
30000,1.3014112992286682
31000,1.2591249666213988
32000,1.2892196503281594
33000,1.3293538959622384
34000,1.3623158544301988
35000,1.3282928210496903
36000,1.3338359879255295
37000,1.3010632345080375
38000,1.379046423137188
39000,1.3360129820108413
40000,1.350623488008976
41000,1.2441087013483048
42000,1.3067176721692084
43000,1.3211622873544693
44000,1.3015124482512475
45000,1.3037420186400412
46000,1.336617002248764
47000,1.2729125962853431
48000,1.3318213770389558
49000,1.3209037373661996
50000,1.2886913965344429
51000,1.2760560168027877
52000,1.345358270227909
53000,1.2977014710307122
54000,1.335722421646118
55000,1.2904098160266877
56000,1.2482862163186073
57000,1.3388269876241683
58000,1.306536509871483
59000,1.2943826877474784
60000,1.2934006425738334
61000,1.272151530444622
62000,1.294200085401535
63000,1.3726063579916954
64000,1.324056989878416
65000,1.3310284572839737
66000,1.3688951087594032
67000,1.3145687708258629
68000,1.329896642267704
69000,1.305469007074833
70000,1.2736364309191703
71000,1.2925076528787613
72000,1.2896888955235482
73000,1.3003211483955384
74000,1.2720599491894244
75000,1.3057734493017197
76000,1.338802318483591
77000,1.322031970024109
78000,1.2846655821800232
79000,1.3439142550230025
80000,1.2882313432693482
81000,1.3146291617751122
82000,1.323450910806656
83000,1.316911114960909
84000,1.3334859412908555
85000,1.3003763073086738
86000,1.2577909496724606
87000,1.2724791498184205
88000,1.3763458219766618
89000,1.2511011629402637
90000,1.287496551334858
91000,1.3485572580099106
92000,1.3505139313936234
93000,1.3595927183032035
94000,1.2386270656585694
95000,1.3042935914993286
96000,1.275615843206644
97000,1.3735939869880676
98000,1.2922277333140373
99000,1.2741840651631355
100000,1.3283216148018837
101000,1.3369133017659187
102000,1.2983900771737098
103000,1.3541483412384987
104000,1.3221758834719657
105000,1.3043198221921921
106000,1.302411026597023
107000,1.2093199167847632
108000,1.3214566615521908
109000,1.25267088252306
110000,1.322296409726143
111000,1.3035073651373386
112000,1.2676096445322036
113000,1.2345352728962897
114000,1.256515045762062
115000,1.2983828980922698
116000,1.2933308010697364
117000,1.2344901554584504
118000,1.345038071870804
119000,1.3115680527091027
120000,1.2849090629518032
121000,1.285113402545452
122000,1.2509483021795749
123000,1.2658546174764633
124000,1.2659103888571261
125000,1.305068799585104
126000,1.2926136258840561
127000,1.2928686796724795
128000,1.2770243293642998
129000,1.287676513493061
130000,1.248466794192791
131000,1.3186397870779039
132000,1.296134823203087
133000,1.2917420926094054
134000,1.2434478675723075
135000,1.2191762952208518
136000,1.3243311239480973
137000,1.2701748354136944
138000,1.282017913430929
139000,1.2808609918504954
140000,1.2530207013487815
141000,1.2346007676124573
142000,1.2293210199475288
143000,1.2920149080455303
144000,1.2349497672319412
145000,1.2609204114079475
146000,1.3124853413701056
147000,1.2624449437260628
148000,1.3200341294705868
149000,1.2634634017944335
150000,1.2337955758273602
151000,1.2583031430244447
152000,1.2836587568819522
153000,1.2754595928192138
154000,1.2663329975008966
155000,1.255949095249176
156000,1.3263826595544814
157000,1.23869483050704
158000,1.284853044912219
159000,1.2328384945988655
160000,1.2929764477312564
161000,1.3155212378799914
162000,1.247964848667383
163000,1.2790445494204759
164000,1.2729888699948788
165000,1.2601528998464346
166000,1.2951654826402663
167000,1.2837742578089237
168000,1.2619252429008483
169000,1.2414108955860137
170000,1.214672268629074
171000,1.2630167701244355
172000,1.255399473130703
173000,1.2586146199703216
174000,1.3042940242886543
175000,1.3116680887639522
176000,1.2200435727834702
177000,1.2688548240959645
178000,1.3592224984169006
179000,1.213952851355076
180000,1.2222845983803272
181000,1.2901545706689357
182000,1.3282656342089176
183000,1.217774701833725
184000,1.231698106020689
185000,1.324046728849411
186000,1.3139293143749238
187000,1.3324349944591523
188000,1.2709150664806366
189000,1.2890022065937519
190000,1.3067247149050236
191000,1.2490069809257984
192000,1.2314925155937673
193000,1.2944913966655731
194000,1.2688517062962055
195000,1.277213839650154
196000,1.2484628088474274
197000,1.2638771274983882
198000,1.255924456655979
199000,1.2721247397065163
200000,1.2621605640351772
201000,1.262005927979946
202000,1.2660165210664271
203000,1.2012575744390488
204000,1.2680482023656368
205000,1.258023457378149
206000,1.2978951550126077
207000,1.2658587404489516
208000,1.2958695961534976
209000,1.2788263886272908
210000,1.2164704068005086
211000,1.186817647010088
212000,1.2695974687039853
213000,1.2656951370239258
214000,1.2011934775412083
215000,1.2852071576714517
216000,1.2348857470452785
217000,1.2854389041662215
218000,1.2893367981016637
219000,1.2067511650323868
220000,1.2576409038603307
221000,1.3104585722088813
222000,1.256611934006214
223000,1.2656532532572746
224000,1.2372906698584556
225000,1.2553189716637134
226000,1.194345670849085
227000,1.2436489009857177
228000,1.2140896465182305
229000,1.2860948019623757
230000,1.2735467626154422
231000,1.2676536433696748
232000,1.2646640918850898
233000,1.2887938195168973
234000,1.2445501923263074
235000,1.2036709051430226
236000,1.2211236191093922
237000,1.2005590525120498
